             TEAM VS. TEAM STANDINGS

Houston Rockets          39-14
   Non-Conference:       13-17


Pittsburgh Condors       28-26

   Houston Rockets:       0- 1
   Phoenix Suns:          0- 0
   Denver Nuggets:        2- 1
   Portland Trailblazers: 1- 1
   Oklahoma City Thunder: 0- 0
   Cleveland Cavaliers:   3- 0
   Orlando Magic:         1- 1
   Toronto Raptors:       0- 2
   Detroit Pistons:       2- 0
   Rochester Royals:      1- 1
   KC-Omaha Kings:        0- 3
   Boston Celtics:        1- 1
   Syracuse Nationals:    1- 0
   Washington Wizards:    0- 2
   Brooklyn Nets:         2- 0
   Oakland Oaks:          0- 0
   San Diego Qs:          0- 0
   Utah Stars:            0- 3
   Anaheim Amigos:        1- 0
   San Antonio Spurs:     2- 0
   Dallas Chaparrals:     1- 1
   Trenton Cagers:        1- 0
   Kentucky Colonels:     1- 2
   Miami Floridians:      0- 2
   Minnesota Muskies:     1- 2
   Baltimore Claws:       2- 2
   Carolina Cougars:      4- 0
   Virginia Squires:      0- 1
   New Jersey Americans:  1- 0

   Conference:           14-13
   Non-Conference:       14-13


Virginia Squires         39-15

   Houston Rockets:       0- 0
   Phoenix Suns:          0- 0
   Denver Nuggets:        0- 0
   Portland Trailblazers: 3- 0
   Oklahoma City Thunder: 0- 0
   Cleveland Cavaliers:   2- 1
   Orlando Magic:         1- 1
   Toronto Raptors:       2- 1
   Detroit Pistons:       1- 1
   Rochester Royals:      1- 1
   KC-Omaha Kings:        2- 0
   Boston Celtics:        2- 0
   Syracuse Nationals:    2- 0
   Washington Wizards:    0- 0
   Brooklyn Nets:         0- 0
   Oakland Oaks:          2- 1
   San Diego Qs:          0- 0
   Utah Stars:            0- 2
   Anaheim Amigos:        1- 0
   San Antonio Spurs:     2- 1
   Dallas Chaparrals:     0- 2
   Trenton Cagers:        2- 1
   Kentucky Colonels:     2- 0
   Miami Floridians:      2- 1
   Minnesota Muskies:     1- 0
   Baltimore Claws:       4- 0
   Carolina Cougars:      3- 1
   Pittsburgh Condors:    1- 0
   New Jersey Americans:  3- 1

   Conference:           23-10
   Non-Conference:       16- 5


New Jersey Americans     27-27

   Houston Rockets:       1- 1
   Phoenix Suns:          1- 2
   Denver Nuggets:        1- 1
   Portland Trailblazers: 0- 1
   Oklahoma City Thunder: 3- 0
   Cleveland Cavaliers:   0- 0
   Orlando Magic:         0- 3
   Toronto Raptors:       0- 1
   Detroit Pistons:       1- 2
   Rochester Royals:      1- 1
   KC-Omaha Kings:        2- 1
   Boston Celtics:        0- 0
   Syracuse Nationals:    1- 1
   Washington Wizards:    1- 1
   Brooklyn Nets:         2- 1
   Oakland Oaks:          1- 0
   San Diego Qs:          1- 2
   Utah Stars:            0- 0
   Anaheim Amigos:        0- 2
   San Antonio Spurs:     0- 0
   Dallas Chaparrals:     2- 0
   Trenton Cagers:        2- 0
   Kentucky Colonels:     1- 2
   Miami Floridians:      1- 0
   Minnesota Muskies:     3- 0
   Baltimore Claws:       1- 1
   Carolina Cougars:      0- 0
   Pittsburgh Condors:    0- 1
   Virginia Squires:      1- 3

   Conference:           13-11
   Non-Conference:       14-16


