       0                  Team                   Name          Gp   Min     Ppg     FGM     FGA     FG%     FTM     FTA     FT%    3pt Made 3pt Att   3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents              Totals         0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents              DTotals        0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       32                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       33                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       34                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       35                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       36                 Team                  Player         0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       36                 Team                  Player         0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       36                                       Totals         0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       36                                       Totals         0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       36                                       Totals         0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       36                                       Totals         0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       36                                       DTotals        0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       36                                       DTotals        0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       36                                       DTotals        0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       36                                       DTotals        0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
