       0                  Team                   Name          Gp   Min     Ppg     FGM     FGA     FG%     FTM     FTA     FT%    3pt Made 3pt Att   3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF
       25           Minnesota Muskies         Paul Arizin      46   32.3     18     6.3     13.1    .481    3.9     4.7     .826     1.5      3.6     .407    1.6     5.5     2.4     3.4     0.9     1.6     0.9      0
       25           Minnesota Muskies      Clyde Lovellette    53   27.6    15.2    6.6     12.4    .535    1.8     2.6     .683     0.2      0.3     .571    2.1      8      1.5     3.9     0.9     1.7     2.2      0
       25           Minnesota Muskies        Willie Naulls     51   13.2     6      2.3     5.9     .393    1.2     1.4     .884     0.2      0.7     .243    0.8     2.8     0.7     1.2     0.3     0.6     0.5      0
       25           Minnesota Muskies       Kiki Vandeweghe    6    12.2    3.7     1.3     5.5     .242     1      1.3     .750      0       1.2     .000    0.2     1.2     0.5      1      0.3     0.5      0       0
       25           Minnesota Muskies         Randy Smith      53    23     9.2     3.3     7.5     .440    1.9     2.4     .783     0.7      2.4     .296    0.7     2.4     4.7     2.3     1.1     1.9      0       0
       25           Minnesota Muskies         Wayne Embry      53   14.6    7.3     2.6     5.3     .488    2.1     2.8     .745      0       0.2     .222    1.1     3.8     0.8     1.9     0.3     0.5     0.3      0
       25           Minnesota Muskies        Nick VanExel      51   5.9     2.5     0.9     2.2     .386    0.5     0.6     .774     0.4      1.1     .333    0.2     0.6     1.7     0.3     0.2     0.5      0       0
       25           Minnesota Muskies          Ray Scott       34   8.8     3.3     1.2      3      .408    0.9     1.1     .744      0        0      .000    0.7      3      0.7     1.3     0.4     0.5     0.6      0
       25           Minnesota Muskies       Dennis Johnson     53   10.8    4.6     1.4     3.8     .374    1.4     1.8     .763     0.4      1.6     .221    0.6     1.3     1.2     1.1     0.3     0.6     0.5      0
       25           Minnesota Muskies          Phil Ford       1     7       2       1       3      .333     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       25           Minnesota Muskies         Alvan Adams      53   16.8     7      2.8     6.7     .411    1.5     2.1     .725      0       0.1     .000    1.3      4      2.2     2.3     0.6     1.5     0.3      0
       25           Minnesota Muskies         Jason Kidd       52    31     7.1     2.4     6.9     .346    1.5     1.8     .813     0.8      2.6     .306    2.5     6.7     11.2    2.6     2.1     3.9     0.4      0
       25           Minnesota Muskies           Totals         53  241.9   117.1    43.5    94.1    .462    23.5    29.7    .790     6.6      19.1    .346    15.1    50.7    30.1    24.7     9      16.3    7.5      0
       25           Minnesota Muskies           DTotals        53  241.7   111.9    42.3     91     .465    22.3    29.3    .762     4.9      14.4    .343    12.3    46.5    28.1    25.7    9.6     16.4    6.4      0
       25                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
